Unnamed: 0,sentence1_edited,sentence2_edited,gold_label_edited,sentence1_lex,sentence2_lex
0,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sunhat staring at people on a subway.,entailment,hat,sunhat
1,There is a man not wearing a sunhat staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sunhat,hat
2,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sombrero staring at people on a subway.,entailment,hat,sombrero
3,There is a man not wearing a sombrero staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sombrero,hat
4,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a fedora staring at people on a subway.,entailment,hat,fedora
5,There is a man not wearing a fedora staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,fedora,hat
6,Some dishes do not have rice.,Some dishes do not have food.,neutral,rice,food
7,Some dishes do not have food.,Some dishes do not have rice.,entailment,food,rice
8,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a work-shirt, is sitting on a rock",entailment,shirt,work-shirt
9,"A man, not wearing a work-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,work-shirt,shirt
10,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a T-shirt, is sitting on a rock",entailment,shirt,t-shirt
11,"A man, not wearing a T-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,t-shirt,shirt
12,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a work-shirt is walking holding a tree branch near the park.,entailment,shirt,work-shirt
13,A boy not wearing a work-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,work-shirt,shirt
14,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a T-shirt is walking holding a tree branch near the park.,entailment,shirt,t-shirt
15,A boy not wearing a T-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,t-shirt,shirt
16,The three children are not holding plants.,The three children are not holding daisies.,entailment,plants,daisies
17,The three children are not holding daisies.,The three children are not holding plants.,neutral,daisies,plants
18,The three children are not holding plants.,The three children are not holding herbs.,entailment,plants,herbs
19,The three children are not holding herbs.,The three children are not holding plants.,neutral,herbs,plants
20,The three children are not holding plants.,The three children are not holding lilies.,entailment,plants,lilies
21,The three children are not holding lilies.,The three children are not holding plants.,neutral,lilies,plants
22,The three children are not holding plants.,The three children are not holding flowers.,entailment,plants,flowers
23,The three children are not holding flowers.,The three children are not holding plants.,neutral,flowers,plants
24,The three children are not holding plants.,The three children are not holding poppies.,entailment,plants,poppies
25,The three children are not holding poppies.,The three children are not holding plants.,neutral,poppies,plants
26,The three children are not holding plants.,The three children are not holding saplings.,entailment,plants,saplings
27,The three children are not holding saplings.,The three children are not holding plants.,neutral,saplings,plants
28,The three children are not holding plants.,The three children are not holding clovers.,entailment,plants,clovers
29,The three children are not holding clovers.,The three children are not holding plants.,neutral,clovers,plants
30,The three children are not holding plants.,The three children are not holding shrubs.,entailment,plants,shrubs
31,The three children are not holding shrubs.,The three children are not holding plants.,neutral,shrubs,plants
32,The three children are not holding plants.,The three children are not holding weeds.,entailment,plants,weeds
33,The three children are not holding weeds.,The three children are not holding plants.,neutral,weeds,plants
34,The three children are not holding plants.,The three children are not holding lilacs.,entailment,plants,lilacs
35,The three children are not holding lilacs.,The three children are not holding plants.,neutral,lilacs,plants
36,The three children are not holding plants.,The three children are not holding sunflowers.,entailment,plants,sunflowers
37,The three children are not holding sunflowers.,The three children are not holding plants.,neutral,sunflowers,plants
38,The three children are not holding plants.,The three children are not holding vines.,entailment,plants,vines
39,The three children are not holding vines.,The three children are not holding plants.,neutral,vines,plants
40,The three children are not holding plants.,The three children are not holding reeds.,entailment,plants,reeds
41,The three children are not holding reeds.,The three children are not holding plants.,neutral,reeds,plants
42,The three children are not holding plants.,The three children are not holding tulips.,entailment,plants,tulips
43,The three children are not holding tulips.,The three children are not holding plants.,neutral,tulips,plants
44,The three children are not holding plants.,The three children are not holding roses.,entailment,plants,roses
45,The three children are not holding roses.,The three children are not holding plants.,neutral,roses,plants
46,The three children are not holding plants.,The three children are not holding houseplants.,entailment,plants,houseplants
47,The three children are not holding houseplants.,The three children are not holding plants.,neutral,houseplants,plants
48,The three children are not holding plants.,The three children are not holding ferns.,entailment,plants,ferns
49,The three children are not holding ferns.,The three children are not holding plants.,neutral,ferns,plants
50,The girl does not wear a hat.,The girl does not wear a sunhat.,entailment,hat,sunhat
51,The girl does not wear a sunhat.,The girl does not wear a hat.,neutral,sunhat,hat
